ROI.Name,x.mni,y.mni,z.mni,network,hemi,index
Superior Occipital G,-33.7949,-81.5,25.141,Occipital,L,97
Precentral,60.3043,-1.3623,24.7681,Frontal,R,98
Inferior Temporal G,-57.9,-48.3,-9.4,Temporal,L,99
Inferior Temporal G,48.1579,-52.6692,-17.3459,Temporal,R,100
Inferior Temporal G,-51.4756,-4.0244,-29.0305,Temporal,L,101
Inferior Occipital G,35.747,-87.0542,9.0542,Occipital,R,102
Cerebellum,-29,-40.0357,-31.4107,Cerebellum,L,103
Frontal pole,-9.3018,62.2189,12.6923,Frontal,L,104
Lingual G,18.15,-55.6179,2.4321,Occipital,R,105
Middle frontal G,28.4235,34.5459,40.8827,Frontal,R,106
Middle temporal G,55.2267,-28.3846,-1.0081,Temporal,R,107
Lingual G,-6.786,-93.3653,0.8524,Occipital,L,108
Frontal pole,1.5346,56.0461,-8.5438,Frontal,R,109
Temporal pole,31.0571,6.2143,-19.6286,Temporal,R,110
Precentral,2.0508,-23.6484,66.9609,Frontal,R,111
Frontal Orbital G,-28.7281,12.2627,-17.5576,Frontal,L,112
Middle frontal G,42.9206,49.0476,-6.1587,Frontal,R,113
Superior Occipital G,-25.6678,-73.8102,39.7831,Occipital,L,114
Precentral,44.305,1.3668,48.7181,Frontal,R,115
Postcentral G,-55.9565,-28.7446,36.4239,Parietal,L,116
Middle temporal G,-56.7422,-48.1523,7.9336,Temporal,L,117
Cerebellum,21.1004,-58.9182,-26.4535,Cerebellum,R,118
Inferior Frontal G,55.9154,4.2231,4.8923,Frontal,R,119
Cerebellum,-17.6786,-81.2619,-31.5833,Cerebellum,L,120
Insula,-39.7018,-13.7339,11.6147,Insula,L,121
Parahippocampal G,-27.4397,-38.3276,-12.0517,Temporal,L,122
Paracentral lobule,0.46084,-15.2169,51.1084,Frontal,R,123
Frontal pole,27.8155,44.2136,-15.2039,Frontal,R,124
Middle frontal G,-30.1061,38.0152,32.6515,Frontal,L,125
Cerebellum,35.4298,-72.781,-31.6116,Cerebellum,R,126
Middle frontal G,30.7464,17.8995,51.5024,Frontal,R,127
Inferior Parietal G,61.3322,-31.6888,25.4895,Parietal,R,128
Superior temporal G,-44.1696,-0.89732,-15.4955,Temporal,L,129
Midbrain,0.59694,-3.5204,-9.8724,Brainstem,Brainstem,130
Inferior Occipital G,-25.4521,-92.7766,11.6489,Occipital,L,131
Superior Parietal G,29.7379,-67.8495,46.3107,Parietal,R,132
Superior frontal G,-9.0558,46.5628,38.9442,Frontal,L,133
Precentral,24.2368,-13.5,66.9158,Frontal,R,134
Caudate,15.5143,14.1857,6.5357,SCGM,R,135
Superior Occipital G,-14.4,-65.9609,55.0565,Occipital,L,136
Insula,40.6017,-10.7415,-5.3771,Insula,R,137
Fusiform,22.0874,-69.4466,-12.3204,Temporal,R,138
Frontal pole,10.4185,62.8533,8.837,Frontal,R,139
Middle temporal G,55.1732,-4.0223,-27.0838,Temporal,R,140
Inferior Frontal G,-49.3417,22.7789,8.6683,Frontal,L,141
Middle Occipital G,18.3708,-89.3933,21.691,Occipital,R,142
Inferior Occipital G,53.2326,-61.5,0.4186,Occipital,R,143
Inferior Frontal G,52.1935,27.5161,3.871,Frontal,R,144
Parahippocampal G,-31.6047,-21.3663,-18.9419,Temporal,L,145
Superior temporal G,-56.2163,-10.5918,3.5878,Temporal,L,146
Precuneus,-7.6996,-74.7554,39.8627,Parietal,L,147
Thalamus,1.5549,-4.3354,4.4634,SCGM,R,148
Medial Frontal G,-0.1336,30.9231,44.7935,Frontal,L,149
Inferior Occipital G,-46.5215,-71.555,10.9091,Occipital,L,150
Middle frontal G,-44.3033,26.1754,25.3791,Frontal,L,151
Cerebellum,1.4477,-56.8713,-13.3834,Cerebellum,R,152
Superior temporal G,58.4625,-7.625,-9.2,Temporal,R,153
Postcentral G,-51.6283,-14.1518,39.3298,Parietal,L,154
Parahippocampal G,21.3708,-11.8764,-17.382,Temporal,R,155
Superior Parietal Lobule,-34,-53.8701,49.2857,Parietal,L,156
Postcentral G,54.3982,-12.146,38.1504,Parietal,R,157
Occipital pole,-21.0533,-92.16,-13.0533,Occipital,L,158
Fusiform,-36.2174,-77.942,-16.029,Temporal,L,159
Anterior cingulate,0.42568,21.2838,-8.5338,Cingulate,R,160
Superior frontal G,10.8106,1.5463,65.6828,Frontal,R,161
Cerebellum,-8.9874,-44.1429,-25.6008,Cerebellum,L,162
Precuneus,10.1842,-63.2143,55.2857,Parietal,R,163
Inferior Frontal G,51.9038,20.6109,20.3724,Frontal,R,164
Precentral,-53.6292,7.3483,16.6348,Frontal,L,165
Angular G,45.1786,-65.5,38.3095,Parietal,R,166
Inferior Frontal G,-25.2439,52.1268,22.1122,Frontal,L,167
Middle frontal G,32.5049,44.7524,27.2767,Frontal,R,168
Inferior Frontal G,-40.8649,48.6216,-4.3243,Frontal,L,169
Superior Occipital G,33.1216,-77.9054,29.9189,Occipital,R,170
Superior Parietal Lobule,-42.4104,-37.9953,47.434,Parietal,L,171
Fusiform,27.9958,-49.1975,-13.8151,Temporal,R,172
Superior frontal G,-8.3651,20,58.746,Frontal,L,173
Precuneus,-0.80508,-55.178,37.7966,Parietal,L,174
Inferior Occipital cortex,31.117,-87.766,-11.2979,Occipital,R,175
Cerebellum,1.0645,-63.1573,-35.0444,Cerebellum,R,176
Lingual G,-14.1691,-74.2338,-10.9317,Occipital,L,177
Putamen,27.098,0.85714,-0.39184,SCGM,R,178
Lingual G,-13.249,-52.9102,-1.2612,Occipital,L,179
Postcentral G,56.0047,-29.3033,43.1517,Parietal,R,180
Temporal pole,45.2055,13.2534,-25.3151,Temporal,R,181
Supplementary motor cortex,-8.4181,0.89224,65.5603,Frontal,L,182
Frontal pole,-27.9034,56.8295,3.8864,Frontal,L,183
Insula,-46.514,5.1308,1.3738,Insula,L,184
Transverse Temporal G,44.4464,-24.6567,15.4378,Temporal,R,185
Superior frontal G,12.3034,42.8933,44.6629,Frontal,R,186
Superior frontal G,13.5606,21.9697,58.0303,Frontal,R,187
Superior Parietal Lobule,-18.0798,-52.6277,64.7872,Parietal,L,188
Fusiform,-27.049,-58.0653,-14.4612,Temporal,L,189
Brainstem,16.1279,-33.8721,-22.5349,Brainstem,Brainstem,190
Superior frontal G,-21.5519,29.8868,46.3019,Frontal,L,191
Cerebellum,-0.54185,-77.6432,-24.1586,Cerebellum,L,192
Superior frontal G,14.9038,56.4615,28.3269,Frontal,R,193
Midbrain,1.0263,-31.3263,-18.1737,Brainstem,Brainstem,194
Lingual G,8.2934,-87.0372,-13.4504,Occipital,R,195
Insula,-46.4262,14.2295,-12.3934,Insula,L,196
Precuneus,-4.1803,-52.377,57.0246,Parietal,L,197
Fusiform,30.9091,-1.5455,-37.3091,Temporal,R,198
Brainstem,-15.1885,-30.5026,-19.9476,Brainstem,L,199
Transverse Temporal G,-42.1239,-31.5,14.5459,Temporal,L,200
