ROI.Name,x.mni,y.mni,z.mni,network,index
    L.BA23.3,-6,-55,25,left,153
    L.BA7.4,-24,-56,65,left,154
    L.BA4.1,-58,-7,25,left,155
    L.BA21.2,-62,-18,-4,left,156
    L.BA9.1,-47,24,36,left,157
    L.BA40.1,-61,-25,20,left,158
    L.BA45.2,-53,30,9,left,159
    L.BA6.6,-39,1,55,left,160
    L.BA19.8,-26,-63,-9,left,161
    L.BA37.2,-59,-49,-4,left,162
    L.BA19.6,-36,-85,11,left,163
    L.BA6.4,-47,-1,49,left,164
    R.BA120.1,33,1,-38,right,165
    R.BA144.1,39,17,29,right,166
    R.BA136.1,22,-33,-10,right,167
    R.BA147.2,35,34,-14,right,168
    R.BA120.2,45,-19,-28,right,169
    R.BA106.11,56,5,34,right,170
    R.BA147.4,44,45,-10,right,171
    R.BA118.6,14,-94,18,right,172
    R.BA118.5,11,-48,8,right,173
    R.BA137.5,49,-60,9,right,174
    R.BA110.1,6,43,-5,right,175
    R.BA110.13,40,52,2,right,176
    R.BA119.10,48,-70,-2,right,177
    R.BA147.1,32,22,-20,right,178
    R.BA111.5,25,33,-19,right,179
    R.BA139.5,46,-60,22,right,180
    R.BA139.4,44,-68,38,right,181
    R.BA118.7,16,-72,-6,right,182
    R.BA108.6,26,29,40,right,183
    R.BA109.5,26,41,31,right,184
    R.BA107.2,5,-56,50,right,185
    R.BA118.8,23,-84,-9,right,186
    R.BA104.1,7,-31,65,right,187
    R.BA144.2,51,18,7,right,188
    R.BA107.8,25,-69,50,right,189
    R.BA117.1,7,-83,4,right,190
    R.BA123.2,5,-56,27,right,191
    R.BA121.1,52,-34,0,right,192
    R.BA108.9,42,8,49,right,193
    R.BA147.5,51,30,-8,right,194
    R.BA119.5,30,-79,24,right,195
    R.BA119.2,18,-53,-4,right,196
    R.BA137.8,59,-48,-16,right,197
    R.BA140.6,60,-29,38,right,198
    R.BA121.5,61,-34,-19,right,199
    R.BA146.1,45,36,16,right,200
    R.BA119.3,18,-84,37,right,201
    R.BA101.4,56,-20,36,right,202
    R.BA107.3,8,-37,76,right,203
    R.BA123.1,3,-21,38,right,204
    R.BA120.3,60,-20,-26,right,205
    R.BA110.8,21,52,25,right,206
    R.BA106.2,7,-8,65,right,207
    R.BA107.1,4,-64,40,right,208
    R.BA108.1,5,34,39,right,209
    R.BA107.4,8,-49,57,right,210
    R.BA110.2,6,56,15,right,211
    R.BA137.6,55,-52,-24,right,212
    R.BA107.12,33,-52,45,right,213
    R.BA123.4,17,-57,20,right,214
    R.BA111.3,11,56,-18,right,215
    R.BA138.3,53,10,-21,right,216
    R.BA121.3,56,-6,-29,right,217
    R.BA141.2,57,-16,5,right,218
    R.BA106.9,42,5,33,right,219
    R.BA139.3,38,-76,32,right,220
    R.BA106.3,9,6,68,right,221
    R.BA140.2,44,-46,49,right,222
    R.BA119.9,47,-74,21,right,223
    R.BA144.4,56,16,24,right,224
    R.BA140.3,50,-30,18,right,225
    R.BA124.1,3,13,29,right,226
    R.BA107.5,11,-65,63,right,227
    R.BA108.5,21,30,51,right,228
    R.BA140.7,62,-21,21,right,229
    R.BA108.4,10,35,54,right,230
    R.BA107.11,31,-42,55,right,231
    R.BA101.3,46,-10,14,right,232
    R.BA139.2,36,-63,52,right,233
    R.BA101.2,42,-24,57,right,234
    R.BA111.2,4,36,-19,right,235
    R.BA139.7,53,-48,35,right,236
    R.BA107.9,28,-76,39,right,237
    R.BA113.1,37,22,5,right,238
    R.BA118.1,2,-93,14,right,239
    R.BA137.2,37,-67,-15,right,240
    R.BA104.2,45,-17,41,right,241
    R.BA118.2,6,-82,20,right,242
    R.BA110.14,41,47,17,right,243
    R.BA137.4,48,-58,-13,right,244
    R.BA110.3,6,57,-9,right,245
    R.BA109.7,50,26,26,right,246
    R.BA104.3,59,-6,26,right,247
    R.BA106.6,27,7,54,right,248
    R.BA139.6,47,-58,47,right,249
    R.BA140.5,56,-40,42,right,250
    R.BA110.7,18,64,-3,right,251
    R.BA106.7,28,-14,66,right,252
    R.BA122.2,53,-44,13,right,253
    R.BA110.12,33,48,27,right,254
    R.BA118.10,26,-96,-9,right,255
    R.BA109.1,6,46,26,right,256
    R.BA137.1,29,-50,-13,right,257
    R.BA140.8,60,-37,25,right,258
    R.BA139.8,52,-58,30,right,259
    R.BA107.6,11,-74,49,right,260
    R.BA111.4,14,24,-19,right,261
    R.BA138.1,37,16,-27,right,262
    R.BA123.3,5,-40,36,right,263
    R.BA110.6,15,64,13,right,264
    R.BA123.5,24,-54,8,right,265
    R.BA106.10,49,-5,48,right,266
    R.BA106.1,6,8,54,right,267
    R.BA121.4,59,-5,-17,right,268
    R.BA131.1,5,-40,46,right,269
    R.BA108.3,6,22,44,right,270
    R.BA109.2,7,48,41,right,271
    R.BA137.7,56,-54,-4,right,272
    R.BA119.6,37,-86,14,right,273
    R.BA141.1,39,-23,13,right,274
    R.BA106.8,33,-6,53,right,275
    R.BA131.2,10,-31,48,right,276
    R.BA118.4,10,-71,24,right,277
    R.BA146.2,48,41,3,right,278
    R.BA108.2,4,21,57,right,279
    R.BA119.1,15,-67,34,right,280
    R.BA110.4,8,58,3,right,281
    R.BA137.3,44,-43,-21,right,282
    R.BA109.4,21,45,42,right,283
    R.BA121.7,66,-21,-14,right,284
    R.BA122.1,45,-1,-9,right,285
    R.BA107.10,29,-58,60,right,286
    R.BA139.1,33,-70,42,right,287
    R.BA118.9,24,-96,6,right,288
    R.BA140.4,47,-35,53,right,289
    R.BA145.1,58,25,10,right,290
    R.BA108.8,42,24,41,right,291
    R.BA122.5,64,-34,9,right,292
    R.BA113.2,42,-4,6,right,293
    R.BA106.4,17,17,61,right,294
    R.BA109.6,38,35,30,right,295
    R.BA122.4,62,-14,-4,right,296
    R.BA121.2,55,-17,-12,right,297
    R.BA136.2,31,-25,-22,right,298
    R.BA107.7,18,-53,70,right,299
    R.BA113.3,43,8,5,right,300
    R.BA124.3,6,-12,49,right,301
    R.BA119.4,26,-90,21,right,302
    R.BA121.6,64,-38,-6,right,303
    R.BA137.9,60,-51,6,right,304
    R.BA146.3,53,34,11,right,305
    R.BA111.1,3,27,-9,right,306
    R.BA119.8,44,-74,11,right,307
    R.BA110.10,29,53,11,right,308
    R.BA144.3,55,7,17,right,309
    R.BA147.3,40,21,-10,right,310
    R.BA110.9,24,49,-15,right,311
    R.BA118.3,8,-89,-7,right,312
    R.BA132.1,5,10,41,right,313
    R.BA110.11,31,54,-5,right,314
    R.BA110.5,9,45,8,right,315
    R.BA140.1,40,-31,41,right,316
    R.BA106.5,22,-2,68,right,317
    R.BA101.1,25,-33,69,right,318
    R.BA109.3,11,59,29,right,319
    R.BA124.2,4,-1,37,right,320
    R.BA139.9,56,-51,21,right,321
    R.BA119.7,40,-83,-8,right,322
    R.BA138.2,47,11,-36,right,323
    R.BA122.3,60,4,1,right,324
    R.BA108.7,31,19,51,right,325
    R.BA117.2,13,-69,9,right,326
    R.BA132.2,6,31,22,right,327
    L.BA48.1,-12,9,8,subcort,328
    L.BA49.1,-25,3,0,subcort,329
    L.BA50.1,-10,-19,7,subcort,330
    L.BA51.1,-19,0,-1,subcort,331
    L.BA52.1,-10,10,-11,subcort,332
    L.BA53.1,-21,-1,-21,subcort,333
    L.BA54.1,-28,-22,-13,subcort,334
    R.BA148.1,13,11,8,subcort,335
    R.BA149.1,26,4,0,subcort,336
    R.BA150.1,9,-17,7,subcort,337
    R.BA151.1,20,0,-1,subcort,338
    R.BA152.1,11,9,-10,subcort,339
    R.BA153.1,24,0,-20,subcort,340
    R.BA154.1,29,-19,-14,subcort,341
  No_BA_region,-7,-58,-16,crblm,342
  No_BA_region,-13,-47,-26,crblm,343
  No_BA_region,-10,-58,-22,crblm,344
  No_BA_region,-19,-54,-45,crblm,345
  No_BA_region,-20,-57,-35,crblm,346
  No_BA_region,-38,-55,-35,crblm,347
  No_BA_region,-12,-49,-32,crblm,348
  No_BA_region,-29,-44,-47,crblm,349
  No_BA_region,-21,-69,-39,crblm,350
  No_BA_region,-33,-70,-37,crblm,351
  No_BA_region,-17,-42,-25,crblm,352
  No_BA_region,-19,-66,-40,crblm,353
  No_BA_region,-27,-81,-36,crblm,354
  No_BA_region,4,-68,-28,crblm,355
  No_BA_region,15,-48,-26,crblm,356
  No_BA_region,14,-59,-25,crblm,357
  No_BA_region,22,-56,-49,crblm,358
  No_BA_region,20,-59,-33,crblm,359
  No_BA_region,40,-51,-36,crblm,360
  No_BA_region,13,-47,-32,crblm,361
  No_BA_region,31,-42,-47,crblm,362
  No_BA_region,25,-69,-41,crblm,363
  No_BA_region,33,-70,-37,crblm,364
  No_BA_region,19,-41,-41,crblm,365
  No_BA_region,29,-59,-43,crblm,366
  No_BA_region,30,-79,-34,crblm,367
    R.BA50.2,0,-26,-30,right,368
