ROI.Name,x.mni,y.mni,z.mni,network,index
1,13.0,59.1,-16.4,2,1
2,9.4,16.4,-19.1,4,2
3,5.0,35.1,-18.6,3,3
4,14.6,34.9,-21.9,2,4
5,7.8,47.4,0.4,3,5
6,12.7,67.0,6.9,3,6
7,28.4,59.5,-1.3,2,7
8,43.0,49.4,-4.5,2,8
9,27.4,52.8,23.1,2,9
10,6.6,52.8,30.0,1,10
11,39.7,36.9,32.0,4,11
12,14.3,35.9,52.7,1,12
13,25.9,31.2,39.8,3,13
14,42.7,17.6,47.1,2,14
15,7.3,21.7,34.0,4,15
16,50.6,28.0,-0.5,1,16
17,31.6,39.7,-14.5,2,17
18,25.8,19.2,-19.7,4,18
19,47.0,39.8,12.8,2,19
20,36.2,23.2,5.7,4,20
21,55.0,12.2,18.6,2,21
22,43.3,20.8,26.6,2,22
23,58.8,-6.3,25.6,5,23
24,6.0,-20.6,62.0,5,24
25,7.2,-5.9,49.7,5,25
26,24.3,-8.6,65.9,5,26
27,49.1,1.4,47.1,5,27
28,7.0,14.7,49.2,4,28
29,12.8,9.4,65.8,4,29
30,25.7,13.6,52.9,2,30
31,41.9,7.2,32.5,2,31
32,30.9,-1.7,52.5,4,32
33,42.8,-17.2,53.3,5,33
34,40.4,4.9,-8.3,5,34
35,40.5,4.1,8.0,5,35
36,35.5,22.3,-8.8,4,36
37,37.4,-12.4,0.2,5,37
38,36.2,-33.3,49.1,5,38
39,20.5,-28.1,68.1,5,39
40,43.4,-11.6,15.3,5,40
41,27.6,-46.1,67.3,8,41
42,15.3,-66.4,33.9,6,42
43,32.8,-57.8,48.4,8,43
44,10.0,-54.7,60.5,4,44
45,55.2,-24.0,43.8,5,45
46,58.7,-25.6,21.5,5,46
47,56.5,-42.9,38.2,2,47
48,49.5,-60.7,34.0,2,48
49,43.7,-73.1,27.8,3,49
50,51.7,-56.0,14.4,3,50
51,25.6,10.2,-39.2,5,51
52,36.7,18.7,-34.2,1,52
53,50.5,10.3,-22.6,1,53
54,50.4,-32.9,1.0,1,54
55,61.6,-21.8,-21.0,2,55
56,54.7,-9.0,-31.6,1,56
57,45.8,2.2,-40.5,1,57
58,40.4,-11.7,-34.0,5,58
59,44.0,-26.7,-23.3,8,59
60,31.5,-1.2,-43.6,5,60
